رقم القيد الأصلي (قيود),التاريخ,البيان,رقم الحساب القديم,اسم الحساب,مدين,دائن,ملاحظة السطر
25,2024-09-26,قيد يدوي رقم 25 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,24760.0,,
25,2024-09-26,قيد يدوي رقم 25 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,24760.0,
28,2024-10-01,قيد يدوي رقم 28 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,1000.0,,
28,2024-10-01,قيد يدوي رقم 28 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,1000.0,
44,2024-10-01,قيد يدوي رقم 44 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5750.0,,
44,2024-10-01,قيد يدوي رقم 44 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,5750.0,
35,2024-10-03,قيد يدوي رقم 35 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5575.85,,
35,2024-10-03,قيد يدوي رقم 35 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,1723.85,
35,2024-10-03,قيد يدوي رقم 35 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,3852.0,
33,2024-10-08,قيد يدوي رقم 33 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5000.0,,
33,2024-10-08,قيد يدوي رقم 33 - أنشئ بواسطة محاسب ارمي,1107,شركة يسم للتجارة,,5000.0,
36,2024-10-14,قيد يدوي رقم 36 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,765.22,,
36,2024-10-14,قيد يدوي رقم 36 - أنشئ بواسطة محاسب ارمي,2105,ضريبة القيمة المضافة المستحقة,114.78,,
36,2024-10-14,قيد يدوي رقم 36 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,880.0,
37,2024-10-14,قيد يدوي رقم 37 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,486.94,,
37,2024-10-14,قيد يدوي رقم 37 - أنشئ بواسطة محاسب ارمي,2105,ضريبة القيمة المضافة المستحقة,73.06,,
37,2024-10-14,قيد يدوي رقم 37 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,560.0,
56,2024-10-14,قيد يدوي رقم 56 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,5000.0,,
56,2024-10-14,قيد يدوي رقم 56 - أنشئ بواسطة محاسب ارمي,110102,عهدة سالم,,5000.0,
53,2024-10-24,قيد يدوي رقم 53 - أنشئ بواسطة محاسب ارمي,1204,مشروعات تحت التنفيذ,7744.0,,
